Ref,Purpose,Description,Mfr/Vendor,P/N,DigiKey P/N, Qty ,Unit Price, Ext Price ,Vendor Link,Note
BZ1,Buzzer,AUDIO PIEZO TRANSDUCER 30V TH,TDK Corporation,PS1240P02CT3,445-5229-1-ND,1, $ 0.67 , $ 0.67 ,https://www.digikey.com/products/en?keywords=445-5229-1-ND,
"C1, C2",Regulator capacitors,CAP CER 1UF 50V Y5V RADIAL,Vishay Components,K105Z20Y5VF5TL2,BC1162CT-ND,2,$0.47, $ 0.94 ,https://www.digikey.com/products/en?keywords=BC1162CT-ND,
"D1, D2",Power selection diodes,DIODE SCHOTTKY 20V 1A DO41,ON Semiconductor,SB120,SB120FSCT-ND,2,$0.43, $ 0.86 ,https://www.digikey.com/products/en?keywords=SB120FSCT-ND,
J1,Game cartridge connector,CART SOCKET 2X14P (28P),4UCON,7861,,1,$4.50, $ 4.50 ,http://www.4uconnector.com/online/SearchPro.asp?FormName=ProSearch&FormAction=search&s_GroupNo=&s_keyword=7861,"Possible alternative from AliExpress:
https://www.aliexpress.com/item/4001146953252.html"
J2,EXT header,1X11 RIGHT ANGLE FEMALE HEADER,Adafruit Industries Inc.,1542,,1,$0.30, $ 0.30 ,https://www.adafruit.com/product/1542,
R1,Reset button pull-up,RES 10K OHM 1/6W 5% AXIAL,Yageo,CFR-12JB-52-10K,10KEBK-ND,1,$0.10, $ 0.10 ,https://www.digikey.com/products/en?keywords=10KEBK-ND,
RV1,Volume wheel,POT 10K OHM THUMBWHEEL CERM ST,Bourns Inc.,3352T-1-103LF,3352T-103LF-ND,1, $ 2.14 , $ 2.14 ,https://www.digikey.com/products/en?keywords=3352T-103LF-ND,
SW1,Power switch,SWITCH SLIDE SPDT 300MA 6V,E-Switch,EG1270,EG1847-ND,1,$0.81, $ 0.81 ,https://www.digikey.com/products/en?keywords=EG1847-ND,
SW2,Reset button,SWITCH TACTILE SPST-NO 0.05A 24V - RIGHT ANGLE,TE Connectivity,1825027-5,450-1662-ND,1, $ 0.18 , $ 0.18 ,https://www.digikey.com/products/en?keywords=450-1662-ND,
"SW3, SW4, SW5, SW6, SW7, SW8",A/B/up/down/left/right buttons,SWITCH TACTILE SPST-NO 0.05A 24V,Omron Electronics Inc.,B3F-1050,SW404-ND,6, $ 0.32 , $ 1.92 ,https://www.digikey.com/products/en?keywords=SW404-ND,1 million cycle lifespan
U1,Battery charger module,MICRO LIPO USB,Adafruit Industries Inc.,1904,,1, $ 6.95 , $ 6.95 ,https://www.adafruit.com/product/1904,"Polarity MUST match Adafruit battery, if buying elsewhere"
U2,3.3V regulator,IC REG LINEAR 3.3V 250MA TO92-3,Microchip Technology,MCP1700-3302E/TO,MCP1700-3302E/TO-ND,1, $ 0.39 , $ 0.39 ,https://www.digikey.com/products/en?keywords=MCP1700-3302E/TO-ND,
U3,Screen,"2.42"" OLED DISPLAY",DIY More,030526LV,,1, $ 20.99 , $ 20.99 ,https://www.diymore.cc/products/2-42-inch-12864-oled-display-module-iic-i2c-spi-serial-for-arduino-c51-stm32-green-white-blue-yellow,Should come with 7-pin header
,A/B button caps,CAP TACTILE ROUND BLACK,Omron Electronics Inc.,B32-2010,SW1139-ND,2, $ 0.76 , $ 1.52 ,https://www.digikey.com/products/en?keywords=SW1139-ND,
,D-pad button caps,KEY CAP BLACK,Omron Electronics Inc.,B32-2110,Z8523-ND,4, $ 0.92 , $ 3.68 ,https://www.digikey.com/products/en?keywords=Z8523-ND,
,Microcontroller,ARDUINO PRO MICRO 5V 16MHZ,Amazon,,,1, $ 7.33 , $ 7.33 ,https://www.amazon.com/KeeYees-ATmega32U4-Development-Microcontroller-Bootloader/dp/B07FXCTVQP,"1 needed per game cart, should come with headers"
,Rechargeable battery,500 MAH RECHARGEABLE LIPO,Adafruit Industries Inc.,1578,,1, $ 7.95 , $ 7.95 ,https://www.adafruit.com/product/1578,
,Charger board header,1X4 STRAIGHT MALE HEADER,Adafruit Industries Inc.,392,,1, $ 0.06 , $ 0.06 ,https://www.adafruit.com/product/392,1 needed per game cart
,Battery mounting tape,"1"" FOAM MOUNTING SQUARE",Amazon,,,1, $ 0.12 , $ 0.12 ,https://www.amazon.com/Scotch-Mounting-Squares-24-Squares-111-24/dp/B002VLJU52,$2.99 for 24-pack
,Front shell standoffs,5MM M2.5 MALE-FEMALE NYLON STANDOFF,,,,4, $ 0.10 , $ 0.40 ,,"Good combo option from Adafruit
(though screws are NOT countersink):
https://www.adafruit.com/product/3299

Also easy to find these on AliExpress"
,Back shell standoffs,8MM M2.5 MALE-MALE NYLON STANDOFF,,,,4, $ 0.10 , $ 0.40 ,,
,Shell screws,3MM M2.5 COUNTERSINK NYLON SCREW,,,,8, $ 0.10 , $ 0.80 ,,
,,,,,,,,,,
,,,,,,,TOTAL, $ 63.01 ,,
